STITCH,atc5,atc_idx
CID000005566,N05AB06,1193
CID000002083,R03CC02,672
CID000002083,R03AC02,671
CID000005584,N06AA06,1624
CID000016850,S01JA01,1466
CID000034312,N03AF02,389
CID000002232,B01AE03,653
CID000005035,G03XC01,8
CID000005746,L01DC03,914
CID000005038,C09AA05,391
CID000005039,A02BA02,829
CID000004768,C04AX02,411
CID000002344,N04AC01,944
CID000002349,J01CE01,358
CID000002349,S01AA14,359
CID000002349,J01CE02,723
CID000003291,N03AD01,583
CID000003715,M01AB01,1232
CID000003715,C01EB03,1231
CID000072467,L01DC01,909
CID000050294,R01AC07,256
CID000050294,R03BC03,257
CID000050294,S01GX04,258
CID000002646,J01DC10,718
CID000003749,C09CA04,275
CID000002610,J01DB05,748
CID000004440,N02CC02,404
CID000002732,C03BA04,1172
CID000064147,J05AB14,53
CID000004509,J01XE01,844
CID000444033,R03BA08,1850
CID005311039,J02AX04,88
CID000003519,C02AC02,774
CID000004211,L01XX23,165
CID000003512,D01AA08,847
CID000003512,D01BA01,848
CID000003510,A04AA02,394
CID000000159,B01AC09,986
CID000000158,G02AD02,145
CID000004178,C01BB02,800
CID005481350,J05AF07,94
CID000004170,C03BA08,1007
CID000004171,C07AB02,937
CID000004173,A01AB17,296
CID000004173,D06BX01,297
CID000004173,G01AF01,298
CID000004173,J01XD01,299
CID000004173,P01AB01,300
CID000027686,R01AC01,328
CID000027686,A07EB01,326
CID000027686,S01GX01,330
CID000027686,R03BC01,329
CID000027686,D11AH03,327
CID000150610,J01DH03,89
CID000071158,N07BB03,766
CID000657298,H03BA02,1048
CID000006691,B01AA03,457
CID005311181,B01AC11,1790
CID005381226,J04AB02,538
CID000036811,C01CA07,1129
CID000004196,G03XB01,1515
CID000004192,N05CD08,446
CID000005352,M01AB02,1179
CID000060184,C09AA04,392
CID000002133,D07AC11,959
CID000002130,N04BB01,870
CID000004991,N07AA02,833
CID000005647,J05AB11,787
CID000002171,J01CA04,733
CID000003355,C01BC04,376
CID000003354,G04BD02,1303
CID000051263,N01AH02,1239
CID000003350,D11AX10,65
CID000003350,G04CB01,66
CID000005002,N05AH04,400
CID000005005,C09AA06,582
CID000004771,A08AA01,1010
CID005353980,A07EC01,158
CID000000942,N07BA01,155
CID000000942,A11HA01,1422
CID000000942,C04AC01,603
CID000000942,C10AD02,604
CID006447131,D11AH02,1034
CID000003292,N03AB01,1649
CID000003779,C01CA02,1031
CID000003779,D08AX05,524
CID000110635,G04BE08,9
CID000110634,G04BE09,792
CID000041744,L01DB09,1454
CID000477468,J02AX05,1268
CID000002749,D01AE14,970
CID000002749,G01AX12,971
CID000002585,C07AG02,101
CID000145068,R07AX01,1706
CID000004510,C01DA02,586
CID000048175,D07AC21,963
CID000004205,N06AX11,366
CID000004200,A01AB23,726
CID000004200,J01AA08,727
CID000005381,D05AX05,170
CID005361912,J04AB04,162
CID000002520,C08DA01,301
CID000039765,M03AC03,908
CID000003403,C10AA04,618
CID000042113,N01AB07,1380
CID000004834,J01CA12,1044
CID000123606,N02CC05,764
CID000060865,S01GX09,476
CID000060865,R01AC08,475
CID000005650,C09CA03,613
CID000005651,A07AA09,879
CID000005651,J01XA01,880
CID006435110,P02CF01,64
CID000002216,S01EA03,509
CID000002215,G04BE07,1480
CID000002215,N04BC07,1481
CID000003348,R06AX26,822
CID000003342,M01AE04,1180
CID000003340,C01CA19,1240
CID000006058,A16AA04,1213
CID000004748,N05AB03,1166
CID000004740,C04AD03,1354
CID000000951,C01CA03,917
CID000002369,C07AB05,472
CID000002369,S01ED02,473
CID000006476,N03AD03,588
CID000003763,N01AB06,1393
CID000059708,N03AX14,874
CID000003161,A01AB22,565
CID000003161,J01AA02,566
CID000003168,N05AD08,1235
CID000000888,B05XA11,517
CID000000888,A06AD19,1137
CID000000888,A02AA04,447
CID000000888,A02AA01,897
CID000000888,A06AD02,1399
CID000000888,A12CC10,1400
CID000000888,A12CC01,520
CID000000888,A12CC04,1138
CID000000888,B05CB03,1139
CID000000888,G04BX01,448
CID000000888,A12CC02,1122
CID000000888,A06AD04,1118
CID000000888,A02AA02,1398
CID000000888,A06AD01,898
CID000000888,D11AX05,1123
CID000000888,V04CC02,1124
CID000000888,B05XA05,1121
CID000041774,A10BF01,393
CID000002733,M03BB03,1320
CID000000401,J04AB01,1419
CID000002756,A02BA01,799
CID005281007,L01AX04,1368
CID000005358,N02CC01,725
CID000004463,J05AG01,1199
CID000004236,N06BA07,952
CID000104741,L02BA03,1098
